Rok;Miesiąc;LiczbaPasazerow;(w milionach)
2019;lipiec;"28,10";
2019;sierpień;"28,30";
2019;wrzesień;"28,82";
2019;październik;"31,19";
2019;listopad;"29,39";
2019;grudzień;"27,89";
2020;styczeń;"28,53";
2020;luty;"27,54";
2020;marzec;"17,75";
2020;kwiecień;"6,10";
2020;maj;"9,80";
2020;czerwiec;"14,55";
2020;lipiec;"18,89";
2020;sierpień;"20,14";
2020;wrzesień;"21,61";
2020;październik;"18,54";
2020;listopad;"12,42";
2020;grudzień;"13,53";
2021;styczeń;"13,59";
2021;luty;"14,25";
2021;marzec;"15,26";
2021;kwiecień;"13,97";
